item_name,category,vendor,price
Cheryl Lewis,furniture,amusement,6
Laurie Greene,dental_health,financial,9
Gary Morales,education,grocery,0
Kelly Walker,groceries,grocery,3
Erin Clark,furniture,restaurant,0
Jody Kennedy,general_health,amusement,6
Jeremy Hanna,general_health,department_store,5
Kevin Barnes,education,restaurant,8
David Valdez,automotive_purchase,automotive_service,1
Lauren Davis,automotive_accessories,health_provider,8
Robert Zhang,automotive_accessories,health_provider,8
Hannah Lara,automotive_maintenance,amusement,6
Chris Eaton,groceries,financial,1
Diane Sanders,dental_health,department_store,8
Eric Holland,furniture,restaurant,3
Phillip Carrillo,dining,gas,7
Antonio Curtis,jewelry,grocery,7
Michelle Hampton,jewelry,department_store,8
Ricky Reynolds,automotive_purchase,department_store,1
Nicholas Chandler,education,pharmacy,8
Bryan Murray,jewelry,pharmacy,6
Vincent Gonzalez,education,pharmacy,5
Adam James,dental_health,pharmacy,1
April Calhoun,general_health,amusement,6
Melissa Guzman,automotive_maintenance,grocery,7
Lisa Richard,education,automotive_sales,2
Kenneth Morris,automotive_accessories,health_provider,0
Colleen Jordan,automotive_purchase,pharmacy,3
Joshua Chandler,groceries,restaurant,5
Frank Nelson,automotive_accessories,health_provider,4
Laura Johnson,entertainment,financial,7
Leah Baker,education,amusement,1
Megan Huerta,furniture,automotive_service,2
Mary Payne,dental_health,department_store,9
Jeremy Mills,general_health,restaurant,5
Breanna Barry,automotive_accessories,movie,5
Mark Lee,automotive_accessories,financial,3
Ralph Long,maternity_health,jeweler,9
Cathy Kirk,general_health,grocery,9
Trevor Knight,general_health,health_provider,0
Victor Stewart,general_health,jeweler,5
Terry Manning,automotive_purchase,education_provider,0
Monica Murphy,automotive_maintenance,pharmacy,7
John Arellano,entertainment,health_provider,6
Brenda Johnson,automotive_purchase,movie,6
James Clarke,automotive_accessories,automotive_service,9
Cameron Green,maternity_health,gas,0
Jacob Smith,general_health,automotive_service,6
Robert Gardner,dental_health,gas,7
Robert Anderson,entertainment,automotive_sales,8
Stephanie Turner,dining,grocery,3
Diane Anderson MD,automotive_purchase,amusement,9
Amber Cooper,dining,gas,6
Preston Miller,general_health,financial,1
Jill Leonard,dining,restaurant,8
Amber Floyd,groceries,automotive_service,9
Joshua Edwards,automotive_accessories,jeweler,4
Kayla Scott,furniture,health_provider,2
Seth Martinez DVM,entertainment,amusement,1
Eric Higgins,automotive_maintenance,jeweler,3
Dawn Mata,furniture,department_store,1
Jacob Lyons,automotive_purchase,amusement,3
Stacy Cook,maternity_health,jeweler,5
Steven Bates,education,automotive_sales,4
William Martinez,entertainment,movie,6
Alyssa Charles,education,pharmacy,1
Lynn Powell,groceries,restaurant,5
Christopher Stout,automotive_accessories,movie,5
Angela Wolfe,furniture,financial,3
Amber Gomez,dental_health,automotive_service,8
Ryan Carter,furniture,gas,3
Jonathan Palmer,automotive_maintenance,restaurant,2
Peter Austin,dining,restaurant,5
Deborah Rivas,dental_health,movie,5
Ryan Cuevas,entertainment,amusement,8
Susan Hensley,automotive_accessories,amusement,7
Erica Green,jewelry,restaurant,7
Sean Gordon,education,pharmacy,1
Aaron Blackwell,automotive_accessories,restaurant,9
Erin Williams,entertainment,jeweler,8
Andrea Harrison,education,jeweler,5
Anthony Morales,automotive_accessories,automotive_sales,6
Sandra Cabrera,automotive_accessories,automotive_sales,9
Autumn Baker,maternity_health,grocery,0
Mark Dean,education,movie,8
Jennifer Russell,dining,health_provider,2
Brandon Mckenzie,groceries,grocery,0
Jose Harris,furniture,automotive_service,9
Brianna Stewart,general_health,gas,1
Patricia Weber,automotive_accessories,financial,2
Jennifer Williams,automotive_accessories,automotive_service,0
Eric Long,dining,gas,9
Emma Baker,furniture,amusement,9
Christine Kirk,automotive_purchase,automotive_service,9
Sharon Stuart,maternity_health,financial,8
Jasmine Phillips,general_health,automotive_sales,2
Connor Petty,dental_health,amusement,2
Cynthia Randall,automotive_accessories,health_provider,4
Ronald Williams,groceries,education_provider,7
Benjamin Smith,education,jeweler,6
